Date      = Sat Apr 23 23:40:39 EDT 2022
host      = c0909a-s35
Directory = /blue/ctolerfranklin/michaelperez012/videogan-pytorch
Model restored
Epoch 9/10 | Iter 103/30188 | D 2.2329e-02 | G 6.5736e+00 | Real 0.97 | Fake 0.02
Epoch 9/10 | Iter 104/30188 | D 1.0654e-02 | G 7.4009e+00 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 105/30188 | D 3.7854e-02 | G 6.7304e+00 | Real 1.00 | Fake 0.06
Epoch 9/10 | Iter 106/30188 | D 6.8469e-04 | G 8.4077e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 107/30188 | D 3.7989e-03 | G 9.0067e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 108/30188 | D 4.7327e-03 | G 6.2356e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 109/30188 | D 3.8157e-02 | G 5.3575e+00 | Real 0.94 | Fake 0.01
Epoch 9/10 | Iter 110/30188 | D 4.1357e-03 | G 6.3525e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 111/30188 | D 2.4769e-02 | G 7.6692e+00 | Real 0.98 | Fake 0.03
Epoch 9/10 | Iter 112/30188 | D 2.5272e-03 | G 5.6986e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 113/30188 | D 2.9699e-02 | G 6.7909e+00 | Real 1.00 | Fake 0.05
Epoch 9/10 | Iter 114/30188 | D 9.4299e-02 | G 7.6131e+00 | Real 0.87 | Fake 0.00
Epoch 9/10 | Iter 115/30188 | D 2.6618e-02 | G 6.5185e+00 | Real 1.00 | Fake 0.05
Epoch 9/10 | Iter 116/30188 | D 1.9886e-01 | G 9.5253e+00 | Real 1.00 | Fake 0.24
Epoch 9/10 | Iter 117/30188 | D 2.3315e-02 | G 1.3995e+01 | Real 0.97 | Fake 0.00
Epoch 9/10 | Iter 118/30188 | D 8.7704e-03 | G 1.1661e+01 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 119/30188 | D 1.2619e-01 | G 7.1548e+00 | Real 0.81 | Fake 0.00
Epoch 9/10 | Iter 120/30188 | D 1.2975e-02 | G 9.2363e+00 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 121/30188 | D 5.3834e-03 | G 6.0475e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 122/30188 | D 6.8907e-03 | G 6.0973e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 123/30188 | D 3.8510e-02 | G 5.7727e+00 | Real 1.00 | Fake 0.06
Epoch 9/10 | Iter 124/30188 | D 3.0664e-03 | G 7.0856e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 125/30188 | D 7.6848e-04 | G 8.1091e+00 | Real 1.00 | Fake 0.00
